id,name_short,name,type,sex,birth,position,education,subject,party,religion,kids,twitter,instagram,facebook,youtube
ub,ullstein,Ullstein Buchverlage GmbH,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
ssg,startstiftung,Start-Stiftung gemeinnützige GmbH,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
csl,celebrityspeakers,Celebrity Speakers Limited,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
dhpmp,heimeier,Dr. Heimeier & Partner Management- und Personalberatung GmbH,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
ey,ernstyoung,Ernst & Young GmbH Wirtschaftsprüfungsgesellschaft,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
im,immoebs,IMMOEBS e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
siaf,schweizerischesinstitut,Schweizerisches Institut für Auslandsforschung,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
ifm,institutmobilität,Institut für Mobilität der Universität St. Gallen,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
iffs,institutfreedom,Institute for Freedom of Faith & Security in Europe,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
ai,atlantischeinitiative,Atlantische Initiative e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
tlsb,londonspeaker,The London Speaker Bureau,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
sefep,smartenergy,Agora Verkehrswende Smart Energy for Europe Plattform,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
dsi,deutschlandstiftung,Deutschlandstiftung Integration gemeinnützige GmbH,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
gruene,diegruene,Bündnis 90/Die Grünen,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
af,aktionfahrrad,AKTIONfahrRAD,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
zdf,zdffernsehrat,ZDF Fernsehrat,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
wgwl,wirtschaftwestfalen,Wirtschaftliche Gesellschaft für Westfalen und Lippe e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
tdp,tuerkischdeutscheplattform,Türkisch-Deutsche Studierenden und Akademiker Plattform e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
sbe,stiftungbildung,Stiftung: Bildung Egitim!,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
ikw,ichkannwas,Ich kann was!-Initiative für Kinder und Jugendliche e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
as,avicenna,Avicenna-Studienwerk e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
dpz,progressiveszentrum,Das Progressive Zentrum e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
fc,fcplayfair,FC Play Fair Verein für Integrität und Nachhaltigkeit im Fußball e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
sgf,gedenkenfrieden,Stiftung Gedenken und Frieden,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
snv,stiftungneueverantwortung,Stiftung Neue Verantwortung e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
hka,haushaltskontrollausschuss,Haushalt-Kontrollausschuss,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
vrn,nordschwarzwald,Verbandsversammlung Regionalverband Nordschwarzwald,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
aut,ausschusstourismus,Ausschuss für Tourismus,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
aas,ausschussarbeit,Ausschuss für Arbeit und Soziales,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
rms,reinholdmaierstiftung,Reinhold-Maier-Stiftung,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
aug,ausschussgesundheit,Ausschuss für Gesundheit,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
wds,wolfgangdoeringstiftung,Wolfgang-Döring-Stiftung,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
sdv,digitalverkehr,Staatsekretariat für Digitales und Verkehrs,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
dhbw,dualehochschule,Duale Hochschule Baden-Württemberg,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
iks,konferenzstabilitaet,"Interparlamentarische Konferenz über Stabilität, wirtschaftspolitische Koordinierung und Steuerung in der EU",1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
cnc,communicationsnetwork,Communications & Network Consulting AG,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
ltbw,landtagbw,Landtag Baden-Württemberg,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
fdpkt,fdpkreistag,Vorsitzender FDP-Kreistagsfraktion,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
leuco,leucoag,Leuco AG,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
sh,horb,Stadt Horb,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
ksk,kreissparkasse,Kreisparkkasse Freudenstadt,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
lkb,landeskreditbank,Landeskreditbank Baden-Württemberg,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
bb,badenbaden,Baden-Badener Unternehmer Gespräche e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
dka,aiesec,Deutsches Komitee der AIESEC e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
idi,initiativeinfrastruktur,Initiative Deutsche Infrastruktur e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
wcd,wirtschaftsclub,Wirtschaftspolitischer Club Deutschland e.V.,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
twf,metallbearbeitung,TWF Metallbearbeitungs Holding UG,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
prs,proregio,Pro RegioStadtbahn e.V,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
vw,wohneigentum,Verband Wohneigentum e.V,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
ab,ausschussbau,"Ausschuss für Bau, Wohnen, Stadtentwicklung und Kommunen",1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
ak,koalition,Koalitionsausschuss,1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
gsess,economicschool,"Graduate School of Economic and Social Sciences, Mannheim",1,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA,kA
